"","Dt","DE_SIN","Gn","DNA","Exp","Imp","years","meses","dias_sem","year_month","dia_mes"
"112",2006-04-22,137970757.32,143282225.3,168850,5480317.98,NA,2006,"4","sábado",abr. 2006,30
"113",2006-04-23,123723131.21,129634251.21,29280,5950624,10224,2006,"4","domingo",abr. 2006,30
"114",2006-04-24,142415531.17,147935911.17,33090,5910038,356568,2006,"4","lunes",abr. 2006,30
"115",2006-04-25,143963937.45,149259140.59,62090,5872885.14,515592,2006,"4","martes",abr. 2006,30
"116",2006-04-26,143013218.53,147874729.61,57920,5865871.08,946440,2006,"4","miércoles",abr. 2006,30
"117",2006-04-27,143041054.2,147548843.97,44170,5550791.77,998832,2006,"4","jueves",abr. 2006,30
"118",2006-04-28,143217303.94,144651028.45,133330,2348596.1,781541.59,2006,"4","viernes",abr. 2006,30
"119",2006-04-29,134490188.69,134489239.18,100450,1460736.24,1361235.75,2006,"4","sábado",abr. 2006,30
"120",2006-04-30,118560883.92,120368288.53,41490,3183230.46,1334335.85,2006,"4","domingo",abr. 2006,30
"121",2006-05-01,118006260.18,122285320.18,166620,5665504,1219824,2006,"5","lunes",may. 2006,31
"122",2006-05-02,138683239.79,140498462.69,47510,2627588.9,764856,2006,"5","martes",may. 2006,31
"123",2006-05-03,142441533.3,143112636.5,42420,1506360.03,792836.83,2006,"5","miércoles",may. 2006,31
"124",2006-05-04,143692608.35,144440618.36,97510,1787373.54,941853.53,2006,"5","jueves",may. 2006,31
"125",2006-05-05,143813093.78,145404754.62,98280,3002127.74,1312186.9,2006,"5","viernes",may. 2006,31
"126",2006-05-06,136022286.2,138841256.2,4270,3783648,960408,2006,"5","sábado",may. 2006,31
"127",2006-05-07,120279783.14,122633637.2,254600,2608836.35,382.29,2006,"5","domingo",may. 2006,31
"128",2006-05-08,139404997.77,141584573.73,64410,2246310.17,2324.21,2006,"5","lunes",may. 2006,31
"129",2006-05-09,141944394.32,143814469.88,110990,1982320.58,1255.02,2006,"5","martes",may. 2006,31
"130",2006-05-10,142539796.34,144987295.14,95910,2736099.44,192690.64,2006,"5","miércoles",may. 2006,31
"131",2006-05-11,143576025.93,148105668.51,32250,4561892.58,NA,2006,"5","jueves",may. 2006,31
"132",2006-05-12,144763109.64,147969066.88,39250,3246033,825.76,2006,"5","viernes",may. 2006,31
"133",2006-05-13,137493756.83,141161489.88,273270,3941003.05,NA,2006,"5","sábado",may. 2006,31
"134",2006-05-14,118720365.64,124211591.11,123840,5615065.47,NA,2006,"5","domingo",may. 2006,31
"135",2006-05-15,143370227.11,149056665.7,5510,5691948.59,NA,2006,"5","lunes",may. 2006,31
"136",2006-05-16,145770490.66,151303064.61,12370,5544943.95,NA,2006,"5","martes",may. 2006,31
"137",2006-05-17,145509147.18,151016944.18,6160,5513957,NA,2006,"5","miércoles",may. 2006,31
"138",2006-05-18,146091090.28,151320082.5,68570,5297562.22,NA,2006,"5","jueves",may. 2006,31
"139",2006-05-19,144779616.29,149765346.29,150270,5136000,NA,2006,"5","viernes",may. 2006,31
"140",2006-05-20,137814933.55,141699809.55,768500,4653376,NA,2006,"5","sábado",may. 2006,31
"141",2006-05-21,121941997.73,122854629.3,761080,1675749.42,2037.85,2006,"5","domingo",may. 2006,31
"142",2006-05-22,142842195.76,142558914.05,63430,14454.67,234306.38,2006,"5","lunes",may. 2006,31
"143",2006-05-23,145061137.15,146408869.13,113020,1465768.29,5016.31,2006,"5","martes",may. 2006,31
"144",2006-05-24,146843608.15,148905951.54,260880,2326864.21,3640.82,2006,"5","miércoles",may. 2006,31
"145",2006-05-25,145593901.1,146341090.06,307060,1054770.86,521.9,2006,"5","jueves",may. 2006,31
"146",2006-05-26,145928405.11,146497940.56,497440,1066975.45,NA,2006,"5","viernes",may. 2006,31
"147",2006-05-27,135878603.57,136662865.43,203030,1076307.86,89016,2006,"5","sábado",may. 2006,31
"148",2006-05-28,118182812.14,118313239.76,283670,1067620.27,653522.65,2006,"5","domingo",may. 2006,31
"149",2006-05-29,120980678.41,121517886.09,200320,1054923.35,317395.67,2006,"5","lunes",may. 2006,31
"150",2006-05-30,143065096.08,143648267.44,74330,756855.06,99353.7,2006,"5","martes",may. 2006,31
"151",2006-05-31,146458755.62,147319801.3,7920,1063101.68,194136,2006,"5","miércoles",may. 2006,31
"152",2006-06-01,142874314.38,143764601.46,50860,996660.78,55513.7,2006,"6","jueves",jun. 2006,30
"153",2006-06-02,141541940.15,143304595.67,63160,1827117.79,1302.27,2006,"6","viernes",jun. 2006,30
"154",2006-06-03,137061951.11,138629369.59,40780,2096478.48,488280,2006,"6","sábado",jun. 2006,30
"155",2006-06-04,121924159.76,121781577.1,110890,732279.15,763971.81,2006,"6","domingo",jun. 2006,30
"156",2006-06-05,141388304.86,146900752.53,31100,5543547.67,NA,2006,"6","lunes",jun. 2006,30
"157",2006-06-06,142990297.63,147112839.6,51280,4173821.97,NA,2006,"6","martes",jun. 2006,30
"158",2006-06-07,142708958.41,146143669.37,124870,3562156.79,2575.83,2006,"6","miércoles",jun. 2006,30
"159",2006-06-08,142504882.2,146279198,870190,4644505.8,NA,2006,"6","jueves",jun. 2006,30
"160",2006-06-09,143168018.4,145611308.42,170320,2617329.93,3719.91,2006,"6","viernes",jun. 2006,30
"161",2006-06-10,134952844.5,140561694.5,144750,5753600,NA,2006,"6","sábado",jun. 2006,30
"162",2006-06-11,119212271.01,124183487.01,767600,5738816,NA,2006,"6","domingo",jun. 2006,30
"163",2006-06-12,139362683.7,144365911.7,717540,5720768,NA,2006,"6","lunes",jun. 2006,30
"164",2006-06-13,143329333.12,147968159.03,623260,5262085.91,NA,2006,"6","martes",jun. 2006,30
"165",2006-06-14,143736891.48,148079828.91,672170,5015107.43,NA,2006,"6","miércoles",jun. 2006,30
"166",2006-06-15,144387729.57,147355828.27,591740,3559838.7,NA,2006,"6","jueves",jun. 2006,30
"167",2006-06-16,145099166.08,149957925.97,61310,4920069.89,NA,2006,"6","viernes",jun. 2006,30
"168",2006-06-17,136424226.64,139250027.61,234190,3881174.97,821184,2006,"6","sábado",jun. 2006,30
"169",2006-06-18,119212445.34,122207305.34,25940,3704992,684192,2006,"6","domingo",jun. 2006,30
"170",2006-06-19,123657288,128205668.4,93100,4641480.4,NA,2006,"6","lunes",jun. 2006,30
"171",2006-06-20,143725780.72,146389665.09,36650,2714080.08,13545.71,2006,"6","martes",jun. 2006,30
"172",2006-06-21,143813486.8,144979496.89,32540,1200755.21,2205.12,2006,"6","miércoles",jun. 2006,30
"173",2006-06-22,144431135.74,146581335.54,22390,2174009.92,1420.12,2006,"6","jueves",jun. 2006,30
"174",2006-06-23,144875909.84,146287541.63,49050,1461549.74,867.95,2006,"6","viernes",jun. 2006,30
"175",2006-06-24,136911452.54,139001112.53,23420,2113470.52,390.53,2006,"6","sábado",jun. 2006,30
"176",2006-06-25,123006343.43,128739239.43,66240,5799136,NA,2006,"6","domingo",jun. 2006,30
"177",2006-06-26,124279853.81,129607407.81,112470,5506720,66696,2006,"6","lunes",jun. 2006,30
"178",2006-06-27,145504908,151065472,82220,5642784,NA,2006,"6","martes",jun. 2006,30
"179",2006-06-28,145581519.02,151267357.02,38130,5723968,NA,2006,"6","miércoles",jun. 2006,30
"180",2006-06-29,146775588.8,152196030.8,79590,5500032,NA,2006,"6","jueves",jun. 2006,30
"181",2006-06-30,147984227.55,152188451.47,39200,4244785.77,1361.85,2006,"6","viernes",jun. 2006,30
"182",2006-07-01,138797907.23,139726462.75,67060,998392.82,2777.3,2006,"7","sábado",jul. 2006,31
"183",2006-07-02,122962300.33,123845119.56,288440,1172219.35,960.12,2006,"7","domingo",jul. 2006,31
"184",2006-07-03,123607227.31,126817934.89,94930,3305981.33,343.75,2006,"7","lunes",jul. 2006,31
"185",2006-07-04,143149519.88,144625501.96,128860,1607211.63,2369.55,2006,"7","martes",jul. 2006,31
"186",2006-07-05,143041312.1,145191878.67,5740,2157148.19,841.62,2006,"7","miércoles",jul. 2006,31
"187",2006-07-06,145752531.48,151388535.48,17660,5653664,NA,2006,"7","jueves",jul. 2006,31
"188",2006-07-07,147011010.47,151893419.92,184410,5066819.45,NA,2006,"7","viernes",jul. 2006,31
"189",2006-07-08,138180194.49,143451192.69,66530,5337528.2,NA,2006,"7","sábado",jul. 2006,31
"190",2006-07-09,124572431.64,130022691.15,35950,5486209.51,NA,2006,"7","domingo",jul. 2006,31
"191",2006-07-10,144143075.84,148684832.85,550620,5092377.01,NA,2006,"7","lunes",jul. 2006,31
"192",2006-07-11,147138757.75,152634743.57,28580,5524565.82,NA,2006,"7","martes",jul. 2006,31
"193",2006-07-12,147793666.41,153166991.53,3250,5376575.12,NA,2006,"7","miércoles",jul. 2006,31
"194",2006-07-13,147502824.09,151230472.53,79810,3810562.52,3104.08,2006,"7","jueves",jul. 2006,31
"195",2006-07-14,146175814.82,150416765.32,314690,4556510.35,869.85,2006,"7","viernes",jul. 2006,31
"196",2006-07-15,137577172.38,141125035.43,34690,3582553.05,NA,2006,"7","sábado",jul. 2006,31
"197",2006-07-16,122435209.2,123099722.22,20370,694143.33,9260.31,2006,"7","domingo",jul. 2006,31
"198",2006-07-17,144581694.78,150057637.17,51840,5527782.39,NA,2006,"7","lunes",jul. 2006,31
"199",2006-07-18,145722327.24,151308539.49,82460,5668672.25,NA,2006,"7","martes",jul. 2006,31
"200",2006-07-19,145686371.98,151438488.3,13310,5765426.32,NA,2006,"7","miércoles",jul. 2006,31
"201",2006-07-20,130184880.12,135919278.27,8750,5743148.15,NA,2006,"7","jueves",jul. 2006,31
"202",2006-07-21,146272568.93,151426284.29,76070,5229785.36,NA,2006,"7","viernes",jul. 2006,31
"203",2006-07-22,138430635.95,143602077.39,11130,5182571.44,NA,2006,"7","sábado",jul. 2006,31
"204",2006-07-23,123384680.42,128839232.14,105980,5560531.72,NA,2006,"7","domingo",jul. 2006,31
"205",2006-07-24,144980365.99,149526193.62,105510,4651337.63,NA,2006,"7","lunes",jul. 2006,31
"206",2006-07-25,147990251.83,153627333.83,48550,5685632,NA,2006,"7","martes",jul. 2006,31
"207",2006-07-26,147580577.23,152758321.23,254000,5431744,NA,2006,"7","miércoles",jul. 2006,31
"208",2006-07-27,144850813.67,148505853.67,217120,3872160,NA,2006,"7","jueves",jul. 2006,31
"209",2006-07-28,143449171.86,147047397.86,20910,3619136,NA,2006,"7","viernes",jul. 2006,31
"210",2006-07-29,135441662.44,139789302.44,173480,4521120,NA,2006,"7","sábado",jul. 2006,31
"211",2006-07-30,122338840.46,127314816.46,35800,5011776,NA,2006,"7","domingo",jul. 2006,31
"212",2006-07-31,143767649.35,148403847.35,437050,5073248,NA,2006,"7","lunes",jul. 2006,31
"213",2006-08-01,145385490.55,146682517.46,322220,1619579.45,332.54,2006,"8","martes",ago. 2006,31
"214",2006-08-02,146466842.39,149782530.39,191960,3507648,NA,2006,"8","miércoles",ago. 2006,31
"215",2006-08-03,147936775.47,152603029.43,166930,4834771.9,1587.94,2006,"8","jueves",ago. 2006,31
"216",2006-08-04,148634236.3,153584772.94,223310,5173846.64,NA,2006,"8","viernes",ago. 2006,31
"217",2006-08-05,138228369.74,143407675.74,46550,5225856,NA,2006,"8","sábado",ago. 2006,31
"218",2006-08-06,122103372.04,127499614.04,17390,5413632,NA,2006,"8","domingo",ago. 2006,31
"219",2006-08-07,124643222.28,129806517,89060,5252354.72,NA,2006,"8","lunes",ago. 2006,31
"220",2006-08-08,146160072.55,150627984.46,49740,4517651.91,NA,2006,"8","martes",ago. 2006,31
"221",2006-08-09,146841395.6,151440226.68,111540,4710371.08,NA,2006,"8","miércoles",ago. 2006,31
"222",2006-08-10,148990500.59,150560768.21,873340,2449356.8,5749.18,2006,"8","jueves",ago. 2006,31
"223",2006-08-11,146736262.51,146171939.72,556690,NA,7632.79,2006,"8","viernes",ago. 2006,31
"224",2006-08-12,139425001.56,138997461.97,420140,NA,7399.59,2006,"8","sábado",ago. 2006,31
"225",2006-08-13,125601782.12,125732248.16,137040,271923.36,4417.32,2006,"8","domingo",ago. 2006,31
"226",2006-08-14,147278822.54,149455885.61,266340,2443403.07,NA,2006,"8","lunes",ago. 2006,31
"227",2006-08-15,149576261.66,153083079.66,203390,3710208,NA,2006,"8","martes",ago. 2006,31
"228",2006-08-16,144861066.38,149619846.38,493540,5252320,NA,2006,"8","miércoles",ago. 2006,31
"229",2006-08-17,145209458.81,150052190.81,75860,4918592,NA,2006,"8","jueves",ago. 2006,31
"230",2006-08-18,143487905.02,148853442.8,240730,5606267.78,NA,2006,"8","viernes",ago. 2006,31
"231",2006-08-19,135987289.74,141281855.83,76520,5371086.09,NA,2006,"8","sábado",ago. 2006,31
"232",2006-08-20,119588637.36,125191443.36,54730,5657536,NA,2006,"8","domingo",ago. 2006,31
"233",2006-08-21,122215766.56,127652064.56,15510,5451808,NA,2006,"8","lunes",ago. 2006,31
"234",2006-08-22,144905809.12,150388159.12,58770,5541120,NA,2006,"8","martes",ago. 2006,31
"235",2006-08-23,146147486.43,151384068.43,373370,5609952,NA,2006,"8","miércoles",ago. 2006,31
"236",2006-08-24,146404532.68,151907646.68,35830,5538944,NA,2006,"8","jueves",ago. 2006,31
"237",2006-08-25,146366663.95,151906185.95,21470,5560992,NA,2006,"8","viernes",ago. 2006,31
"238",2006-08-26,137824017.59,143230376.71,11890,5418249.12,NA,2006,"8","sábado",ago. 2006,31
"239",2006-08-27,123406431.87,128976110.61,39080,5608758.74,NA,2006,"8","domingo",ago. 2006,31
"240",2006-08-28,145147442.63,150686478.63,17860,5556896,NA,2006,"8","lunes",ago. 2006,31
"241",2006-08-29,147476537.84,152910227.84,72390,5506080,NA,2006,"8","martes",ago. 2006,31
"242",2006-08-30,147259667.32,152554914.72,15100,5310347.4,NA,2006,"8","miércoles",ago. 2006,31
"243",2006-08-31,148841486.05,154565148.05,26290,5749952,NA,2006,"8","jueves",ago. 2006,31
"244",2006-09-01,148497558.87,154318734.87,72360,5893536,NA,2006,"9","viernes",sept. 2006,30
"245",2006-09-02,140218015.82,145892627.82,222060,5896672,NA,2006,"9","sábado",sept. 2006,30
"246",2006-09-03,123909077.83,129686563.83,133010,5910496,NA,2006,"9","domingo",sept. 2006,30
"247",2006-09-04,144056216.13,149864087.89,81910,5889781.76,NA,2006,"9","lunes",sept. 2006,30
"248",2006-09-05,145068741.67,150760093.9,168840,5860192.23,NA,2006,"9","martes",sept. 2006,30
"249",2006-09-06,145573873.53,150729187.36,144040,5299353.83,NA,2006,"9","miércoles",sept. 2006,30
"250",2006-09-07,145482251.51,151052296.94,71300,5641345.43,NA,2006,"9","jueves",sept. 2006,30
"251",2006-09-08,144097619.77,149890327.77,51100,5843808,NA,2006,"9","viernes",sept. 2006,30
"252",2006-09-09,137068676.44,142342439.15,113680,5387442.71,NA,2006,"9","sábado",sept. 2006,30
"253",2006-09-10,121791764.19,127667340.19,41800,5917376,NA,2006,"9","domingo",sept. 2006,30
"254",2006-09-11,143703506.61,149493986.61,27120,5817600,NA,2006,"9","lunes",sept. 2006,30
"255",2006-09-12,147034735.74,152647669.01,55230,5668163.27,NA,2006,"9","martes",sept. 2006,30
"256",2006-09-13,147730717.28,153201176.26,405250,5875708.98,NA,2006,"9","miércoles",sept. 2006,30
"257",2006-09-14,148911104.65,154612192.3,165410,5866497.65,NA,2006,"9","jueves",sept. 2006,30
"258",2006-09-15,147328598.07,153003495.25,211790,5886687.18,NA,2006,"9","viernes",sept. 2006,30
"259",2006-09-16,139406567.26,144914470.41,116560,5624463.15,NA,2006,"9","sábado",sept. 2006,30
"260",2006-09-17,123351283.89,128727721.5,59320,5435757.61,NA,2006,"9","domingo",sept. 2006,30
"261",2006-09-18,143918413.27,149500967.16,67020,5649573.89,NA,2006,"9","lunes",sept. 2006,30
"262",2006-09-19,143814209.35,148546818.28,8850,4925034.93,183576,2006,"9","martes",sept. 2006,30
"263",2006-09-20,147563148.14,152442183.93,110130,4994409.24,5243.45,2006,"9","miércoles",sept. 2006,30
"264",2006-09-21,149889133.54,155680236.71,62680,5853783.17,NA,2006,"9","jueves",sept. 2006,30
"265",2006-09-22,148983209.72,154621190.73,201660,5839641.01,NA,2006,"9","viernes",sept. 2006,30
